Samples,SU_2,SU_3,SU_1,PU_2,PU_1,PU_3,CU_3,CU_2,CU_1
Group,SU,SU,SU,PU,PU,PU,CU,CU,CU
769.432676508229,1998.81317346025,2799.92269511828,2716.70286838591,2553.405126897,2788.36239517904,2342.54003466832,2003.07010122456,2088.46256072013,2238.40440935106
769.467675739591,3524.63534731292,2364.62247615178,4688.0457707763,6854.27383042793,6964.64493107207,5328.45120909178,3466.16909727708,2482.92148817019,5170.69929920445
769.471731906957,6066.5387691152,5615.829175364,5465.92863506719,6181.78044932842,6489.38800354707,6050.55901420118,7102.35298620473,6790.24999958074,5409.52709496287
771.428013425961,3055.96145881049,2971.19372384855,2971.23034521131,3475.86343580497,3571.70656881696,4622.52412279496,2173.99521324997,2640.67403256228,3582.75425468234
772.302007251071,3465.42703788155,3703.31642440877,3409.60280490111,5532.5502415018,4901.82614267968,4602.69801669017,6812.57176868693,2906.90735741778,7823.72575580255
772.303853720156,3515.61566104083,3374.62504040775,3243.64865023027,3602.37939627596,3755.45101787797,2642.55783935454,7700.34753856135,7422.00059917634,6593.46953868051
773.47159156927,1630.66791904759,742.307645517189,7165.38192668528,2002.10981091781,1009.62776938251,14645.6150030598,844.955813757857,4583.46594081342,8692.49494069907
774.239391576294,1206.32154409254,973.15877658817,956.056819865538,6641.34378344042,6392.06705480638,6968.49271247059,11025.0961305881,12389.7887131181,11804.7864340976
774.316400914916,779.017927690664,630.340227422737,1268.47236539722,2528.71185007842,3188.06462233033,2927.2852082181,2547.40705774957,2505.42035517559,2263.26539392787
774.317082292344,894.712726201667,1271.38590171619,1341.99507777242,34406.9206039495,34897.5011717584,33180.5002561197,53289.123529142,51713.0565251717,51615.7201684101
774.317302504218,4932.45296664188,757.517860205836,665.161115105785,30145.2770495991,31007.3900478782,28299.093504006,51444.4771316614,48301.3754314694,51605.3786217977
774.318124224217,9255.45234648523,9368.52041360346,8365.15463431029,88446.190065636,90689.5204421107,85163.8888877584,245141.157850147,245898.700952198,248959.774986366
774.318129437548,1126.30780457558,1372.25460289694,1445.05596549441,5619.93427164019,5600.75071286487,6156.07309971042,7482.62065288305,7217.60422338076,7200.70492535837
775.257173658426,2416.29207782298,3048.71047997119,3242.85729586098,827.878419765898,928.312416570763,969.400920714309,8816.16643161864,11545.796787433,11785.1335991144
775.257505517962,16626.5340190497,18320.5356930978,17882.2255400729,801.921124907358,838.085541759117,1048.79885971128,8109.85117658477,8062.23579804546,8255.76534317076
775.258487415173,9075.52835568218,9951.8560363609,8597.36298772234,833.167145943127,779.97366701294,906.773729039464,4891.53269186457,5694.28296944447,7648.18872863688
775.25904115574,18772.1171694867,19793.7883829685,18360.6792634686,521.952770481402,601.042213929019,522.810066083009,5265.83578148706,9508.43711348531,8924.88522021983
775.259701886488,6263.89297236727,6423.51163035032,6313.31137033972,627.826458246623,2033.86550123268,803.636151612652,4478.35193774271,5835.47604009137,5804.14586561691
775.530023440973,1598.63779357309,1332.29659837368,1114.28322774041,3721.23939626261,5065.9647306637,7406.02363991894,2733.37786026239,4038.25879026403,8598.35170513609
775.541821600376,2084.45693728538,2410.53761179261,2651.09068855115,2622.18906684288,2636.68367975172,1780.34564164927,2519.43955928565,1948.68325195484,2183.50889458536
776.331750838299,714.792546583517,801.810853414301,823.713273443345,2645.87570079652,3359.09638199877,3347.71194780988,3196.87079108946,3080.47512359091,3480.00328310773
776.33203377071,13847.6249758969,14292.7414607777,13120.3631691237,22592.5030777936,22171.8104895766,24259.6339485351,26679.818681474,26215.0938434899,27966.0151880906
776.565339057197,3423.25256669199,3615.08923751316,3108.01960557166,3819.69270675372,3736.93711591256,2378.63871770615,2492.88711148088,1172.5680251854,2875.69972748598
777.309869222424,4822.63806003296,6258.83631028322,5133.25858977345,1474.50024066385,1848.41166353757,1454.34589291174,9580.24080910528,9768.15093325724,10063.5253749958
777.356631058881,6334.68168355216,1853.51943030232,24941.2114222798,4222.587627732,1838.2309724872,21848.9580466389,3385.07708398913,11506.7937139611,18060.0320704048
778.290423974068,6342.50185380089,6098.70789660307,5770.01357553052,5134.76710959278,4505.11099483764,4358.27401460076,30427.9560013416,31372.8124419588,29848.0187238017
779.418803588021,8952.11027456288,8431.08025916339,8283.69464735722,1216.45894849456,1242.80782075315,1190.84972871796,1172.3647121149,1392.03380847282,653.322458606693
780.421940470018,5813.52037341677,6328.70101871506,5719.35158806152,6816.14623369677,7443.04789425921,7613.7654200985,5962.84805484746,6185.15623486557,7514.84697932077
781.419704287026,13774.9734865544,15932.1251782871,16133.7625130613,13854.6113391191,17215.7665057238,13293.2190512531,13086.2019776849,14514.9143425107,18819.6468138011
781.492892202071,3365.07544674313,3166.74426030498,3307.54338625894,3432.14481130247,3193.39598493116,3967.62640917282,2755.72556724903,3009.8751988899,2846.07080645326
781.527026126594,8781.85969580781,4666.02536788968,7874.42488914206,8408.44168464361,7706.0082646988,8092.15680464327,5137.56724615541,4160.15632354174,5309.91095358827
783.260231211828,6710.44831490699,6941.353657262,6864.60002757053,540.54067166653,3123.87494778469,2979.06065091196,4023.84548674694,3475.65136684914,3374.26899267738
783.490890721981,7413.70741076568,7108.17480175326,7467.33148786043,6606.98605085658,6845.8493402228,8938.88651099276,5406.60081529034,5684.5645815599,7357.48607556993
783.515688530914,13988.9527888254,14483.0609865018,13255.6637998877,15804.8931422272,14944.2688640185,16624.5804054327,12507.1587770408,11829.7995040801,12485.0179034519
783.520550673266,4655.35861861823,4838.19159374656,4643.98339982842,5113.05938980369,5445.19404694907,5761.33518451937,3373.00920859847,3947.15922028737,3865.04181593963
784.404394557478,3007.54694799816,1472.24863326369,28331.3839166984,4894.93963661134,3889.55241697678,45709.6296184866,8209.38675161571,51464.8213570041,73608.6995645658
784.491976717999,105551.465556961,29079.3683928242,613064.26472647,123102.625948605,79935.8534087516,1459326.61766327,158396.831628812,931500.116384464,1649687.78147726
784.504397702257,5669.89606879234,6020.13980961684,6740.57189613152,6455.5791828702,6580.22621831808,7343.42211806425,4242.21623139334,4691.04804874048,5321.05106716363
784.5222275836,6255.92387368545,6871.1437159407,6971.24649253832,6270.37968536325,6989.49755148209,6750.70964321801,3995.11728941619,5367.56206712598,5406.29464729237
784.581214938305,6758.00774205211,2987.11280016952,54012.4790609881,9622.82645631213,6184.48226692079,99222.0819287558,14709.1280147443,89282.7733419611,157363.959715855
785.278498243633,5804.43489543561,6466.38778920302,5893.7442334588,766.914960433152,696.499859506913,859.072864747715,2978.21281773276,3794.11441730141,3475.46325758737
785.446863714598,3625.02057859735,3117.39871345075,3489.9136609101,2554.34742418466,4042.05954119848,2807.10725262388,2554.89340528036,2068.20269712393,2352.87462332261
785.574566160053,4061.26815734572,3937.66453442622,3943.43798972347,4225.55940703278,3706.03228517258,4693.17227042875,3156.99030536516,3554.67444434122,3512.77344499123
786.486325193339,16402.2138110184,16707.8469669978,17680.2939705063,17724.983458362,18457.415986716,9681.84858705715,12756.078565633,12473.6210684,14741.2255434187
788.33210977878,1143.95588210051,1056.54390171936,976.20650342614,10668.1001157561,11108.497172609,3496.59557620719,27949.2107632379,25111.4166479971,17720.5868931653
788.334728374793,727.683242609902,817.099398602384,2731.04354434661,6323.55636762793,6183.37898779107,4273.41252870676,27928.813862158,24363.8203215935,22069.7141202356
788.611134641988,8466.1454662977,10325.2558316497,9328.67410399159,12649.5656546772,14007.8586633022,6937.93871684348,8843.78269659674,6657.44997324383,11914.5774043269
789.206483849174,3444.51492104117,3504.39570107421,3450.49732190928,6391.09131082345,6565.77761551153,6501.9820621241,4944.62379702262,5392.19458096302,5397.26676338309
789.359834115068,11620.3902383749,758.878891813626,51006.4771482309,15701.912836359,9467.99302434151,52801.9480003532,14909.6536507707,67917.9836484197,91481.0933980568
789.444508969045,5375.32629571534,6574.93626295218,3723.79580920495,3740.10504969789,4139.71718851909,3658.97922195952,4501.17779483682,5439.54094217571,4824.93110878921
789.44770575193,269751.406688197,72206.5178996084,1538462.01784604,322183.065399616,209609.828272891,3149400.80361769,260339.680632308,1453189.74055378,2790363.60763979
789.449364409858,2734.35593322021,3042.97134462445,3234.86293954476,3218.03681559459,3592.30021430445,3428.06919758574,3259.41184391774,3019.97912099748,2303.86640421726
789.537690212374,21807.4838195886,2186.56991879866,118556.351954281,30488.2166068239,17297.0974917307,146138.923406659,21874.4949012953,119440.055755938,214327.107141332
789.733717159604,1603.21017852234,29813.9521454815,57214.6640061876,4098.5423660878,1241.86904577219,128142.997640343,1305.96698825184,55436.4148167267,105609.395441426
791.242644945954,4245.7797959664,3771.61993418758,3894.0358734741,19034.7063534788,18459.893413809,20493.2004218023,16409.9659767563,16420.6118814817,18509.1710400167
791.451898632181,3673.55679953231,4355.5310137718,4993.33520490939,4833.98094396706,5692.60835880067,5726.7736075689,3374.94245766001,2871.94567295546,5066.86163154887
792.305992046576,5863.14626770153,5781.43462898684,5675.74954349966,1804.72473559292,1633.3298346622,1607.66578534565,22579.0166879019,22688.8968671236,18475.3543522733
792.307791804441,2318.78746598021,2699.61164087114,2169.37226755184,11271.1866780958,10244.1822923677,10666.0077102868,49514.2618474183,48411.5180387578,48323.0655101582
792.308168337894,3190.99557782071,3313.94217066916,3153.4084596803,12629.8790014855,12833.6043444755,10111.86819664,135273.820787709,140031.612928043,122519.565182919
792.308352382183,1686.38948792473,1938.62409412474,1564.97541825871,3343.30803132653,3342.70863184016,2524.79289432104,33979.2922152811,30564.0437751422,26584.3246243667
792.547908501733,22099.2144749598,22794.231045574,24378.2089338702,24854.3180345742,25835.5384090959,15643.1089492231,18150.1655207034,18597.7199657961,19413.3718042328
792.568202483548,22963.725554613,20886.4366045077,21068.7999883185,22108.8453747956,20654.4171745862,13666.2279000824,17832.6324405393,19763.4975050429,18434.1319193963
792.569773836923,20156.4314062895,22275.8240225831,22067.698086174,19965.173154238,21712.4312873463,9924.73275795971,16400.01838614,15028.6196867423,17803.676146248
792.582694841791,34474.9669076578,35729.495626787,39443.7489099854,37189.1028809784,37749.1440745044,21491.2830132923,28147.5976781271,27803.8479639512,26454.3883517853
792.587454680453,2720.35937460618,2694.9448541611,1203.39167712681,753.239520902258,1257.86761019596,716.169257715177,3239.68435779004,4745.9462105889,1348.13895007757
794.563162657446,9465.92593498245,7542.15449752128,7722.57327638019,9895.04654804143,9116.22363756919,10827.57616493,7086.71595437986,6001.77283163427,6188.57694811137
