Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,QC,QC,QC,QC,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,QC,QC,QC,QC,CU,CU,CU
111.0077179,11187.75,11359.578,1102.7852,11996.555,1235.8906,1306.5693,17408.312,16302.305,17614.078,18538.344,22002.094,20382.266,19348.89
111.0077914,4532.078,4700.7266,1168.6572,5079.824,976.7969,1335.9033,3937.8027,3966.08,4211.2305,4042.959,7947.2383,7852.758,7689.8945
111.0078308,192916.5,195917,95986.81,196149.62,103154.75,101346.25,171929.25,184300.38,201764.88,203401.5,228819,221713.62,231720.25
111.0079086,444370,484930.25,81794.125,488198.25,85932.19,83864.81,432848.75,408867.5,445425.5,498866.25,479998.25,490904.75,512213.75
111.0079708,5338.414,3642.877,1126.9639,5923.0234,1259.5547,1179.085,7746.6367,7461.5,7572.9766,7284.2617,5180.5273,4553.332,4881.0586
111.008246,7493.4883,6852.926,1728.1875,7820.0586,1688.6113,1809.2686,4623.453,4590.453,5475.914,5215.3867,6973.2227,7502.129,6880.746
111.1151521,15499.125,17547.11,0,17409.11,0,0,13586.5,12058.859,15167.305,18722.89,16669.734,17595.781,18965.766
111.1153145,1823,2266.2305,0,1900.4326,0,0,1229.7148,1729,1965,1995.4766,2794.3984,2555,3008.7559
112.8952751,10857.625,12172.391,5435.824,12628.039,5102,5827.2227,2806.4727,3070.0762,3124.8672,3566.7676,2131.8105,2254.3984,2192
112.9845006,30229.797,29082.828,8087.1094,30016.844,7152.2188,7210.785,38689.03,41995.406,42807.656,43127.875,15408.68,17164.812,18905.969
112.9845721,45158.656,41488.312,9581.461,43683.125,7576.668,8092.996,37424.375,41605.53,42975.188,46591.625,21977.297,23823.578,25784.656
112.984618,17939.422,19764.781,23595.375,19067.812,24244.64,24342.031,35452.28,35442.438,41888.594,44264,108736.5,103142.69,118243.5
112.9846214,18815.375,19163.547,22852.156,20560.75,23141,25233.11,34830.062,36134.688,43471.562,45762.875,94326.44,90598.81,104328.44
112.9846269,16534.61,18602.922,20763.5,17551.25,22880.562,21532.562,35900.344,39777.75,44200.188,47095.094,87313.81,90905.94,101674.56
112.9846276,19155.469,20349.953,11392.781,19760.656,11737.93,12008.883,98945.75,100189.75,116798.19,129186.5,67530.375,62990.72,71106.875
112.9846712,16451.672,18013,93243.69,17712.11,103498.625,107557.875,66456.56,70777.125,80168.75,84074.25,93996.375,95525.375,101428.25
113.0229559,13212.047,13283.445,4616.922,13865.945,4256.793,4345.1953,8961.383,9540.102,11382.1875,11076.992,11224.375,11068.32,11988.82
113.0234269,38477.75,38693.125,68190.44,37136.125,74479.375,78706.25,112189.06,122492.875,131735.38,144485.25,30721.484,32283.578,33438.344
113.0235227,5971.422,5608.5664,1267,5550.301,1363.208,1389.3242,5124.1914,5204.492,6055.3516,6488.8555,6075.422,6501.8164,5638.1523
113.0237543,5743.2305,5596.8906,1179.3535,6117.8477,1548.8955,1223.8691,6108.6914,6098.7734,6694.8164,6741.996,5308.9805,5446.176,5376.047
113.023758,11332.227,12332.477,1036.5615,12793.234,975.81885,985.24756,4266.875,4484.789,5424.539,6091.8438,7606.6836,7773.996,7670.801
113.0237847,14498.5,15390.445,1527.165,16222.984,1335.6221,1845.6504,5661.1562,6348.9727,7573.0273,7971.3594,10017.82,10218.648,10617.695
113.0238084,10020.203,9769.797,1858.0742,10104.805,1651.4912,1946.1475,7917.1875,7880.164,9182.086,7889.6836,9130.227,8549.047,8973.742
113.0238861,11424.016,11900.805,2392.9883,11687.273,2303.627,2224.7344,6373.2773,6917.6406,7103.633,7420.3867,7494.1055,7459.4453,8296.07
113.0239656,8476.398,9790.672,1551.1006,9200.336,1483.1123,1531.167,6493.7344,6661.4688,8871.18,8874.719,6877.2227,6911.4805,7201.9766
113.0241529,10622.742,11236.867,1213.6406,11812.867,1061.0693,1174.1357,5875.836,5963.6836,6540.3438,7084.0547,8909.125,9608.4375,9723.852
114.0245185,6796.578,6386.7383,26847.078,6824.996,28227.906,29687.875,15568.703,15649.602,17258.547,18997.36,6348.543,6840.074,6998.414
114.9337766,4664.176,4813.6836,7581.492,4458.668,6798.8867,6854.8594,9154.266,8899.469,9645.844,9496.867,14638.891,14070.609,13050.484
114.9338408,7538.0234,9106.117,11107.852,9689.789,12555.203,12129.852,11843.117,11934.516,14245.383,15926.453,17418.39,18066.281,18951.625
114.9338814,10450.789,9261.289,11781.883,7282.199,10743.078,11417.93,18559.531,19428.156,21028.969,21903.172,28207.75,28517.781,28992.422
114.9878521,207946.88,211984,188840.25,210413.38,181551.12,180395.12,202161.12,209775.62,220304.5,224728.25,250629.5,247716,260138.75
115.0019936,2837.0781,2644.1523,1320,3180.8066,1106.7549,1257.5898,2809.9473,2673.4062,3027.748,2911.832,2655.9316,2587.3496,2516.3906
115.002321,3260.2188,3225.1777,1380.7588,3396.7168,1328.6807,1381.1045,8419.523,8528.32,9827.008,11260.32,4138.535,4471.16,4349.297
115.0026888,3762.9375,3451,712.8135,3583.412,922,849.09326,3341.5195,3238.8594,3719.4473,4130.6133,2262.6875,2413.5,2304.1113
115.002701,44140.5,42476.78,57793.28,43442.656,64056.688,63522.875,133154,135843.62,139324.25,144844.62,45472.312,42200.906,43409.938
115.0029561,41839.188,44959.062,16090.43,42564.344,16608.922,18684.406,167566,156515.12,172894.88,177409,27807.86,29237.125,32899
