Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,CU,CU,CU
122.9743332,3009.0293,4041.373,1186,3683.2324,1072.3262,1285.6084,2141.6582,2268.5215,2169.9375
122.9745159,9905.469,10946.945,6814.5273,10325.992,8748.43,7447.2344,7995.3867,8362.539,9229.961
122.9745505,15649.953,16544.344,11679.289,17112.61,12560.289,13171.227,13743.734,15711.781,17164.094
122.9745726,2174.7031,1973.2656,2284.0625,2112.8555,2609,2725.6719,5455.879,5220.668,6012.0977
122.983375,19841.938,22452.406,942.7886,27103.172,1208.6572,1052.959,1460.7227,746,4795.6367
123.0071963,3052.8477,3009.4297,5868.074,3148.3672,5067.1094,5670.8594,3187.6016,3578.9219,3390.1895
123.0072675,1350.9199,1043.9092,3587.2812,1080.7236,3392.625,3640.045,2166.6875,1729.4023,1818.4404
123.0072689,3926.5098,3267.4102,1275.9873,3389.0781,1592.3926,1518.0088,3773.373,3907.7383,3442.6836
123.0073394,1494.3154,1265.7568,2009.3408,1169.5342,1869.5293,1887.4648,1910.5264,1770.3516,1929.6504
123.0073742,6854.4062,7297.3906,4771.7344,7079.1836,6073.7734,5578.0117,6050.9062,5848.3438,5702.3867
123.0075158,2649.3496,2414.3535,1144.6865,2550.6191,1221.3242,1332.5781,2344.3984,2598.4062,2199.4238
123.0075457,4098.621,5284.3594,1335.9297,4646.9805,1225.9404,1199.2178,3818.1797,4171.086,3520.998
123.007551,3503.709,3426.914,1780.1826,3539.3984,1516.5107,1387.834,6700.832,6175.4688,6419.1875
123.007555,2069.9355,1864.0039,1470.3223,1791.792,1188.1768,1248.373,1468.2588,1996.1611,1444.2432
123.0432205,1912.0469,2015.3721,3529.6562,2135.5996,2992.1992,3471.3281,2640.7207,2533.0977,2348.1191
123.0434558,3027.2363,2560.0352,3837.918,2599.6504,3466.6387,2898.711,3100.043,2751.9219,2577.584
123.0436582,4064.9375,4805.0273,185311.12,4164.7695,180337.88,180856.88,4913.797,4787.4883,5545.2734
123.0437324,6379.168,5950.0156,42196.22,6662.3906,31635.422,31458.906,6246.121,6457.9453,6196.629
123.0437504,6175.336,6248.6914,40010.312,6767.926,26271.438,23504.016,5294.285,5552.34,5323.375
123.0438185,0,0,2846.584,0,2670.379,2945.4219,1525.0713,1419.8672,1557.6152
123.0438211,9780.9375,9053.867,19659.86,9527.234,13112.242,13209.953,6816.1953,6784.7266,6969.1875
123.0438264,3484.0508,3516.8965,12464.383,4037.496,12916.68,12953.734,4511.0703,4800.215,4810.9453
123.0438816,2116.5527,2252.3027,7364.25,2593.67,7598.418,8074.7344,4968.2305,4597.9375,4736.996
123.0438886,9942.367,9523.969,37303.25,10053.398,45088.438,43719.625,7595.172,7627.492,8559.414
123.043892,5226.8984,5436.453,28351.094,5873.1562,15423.891,16270.1875,4535.164,4390.3164,4237.5586
123.043895,850.6201,961.53076,1851.5293,623.62256,2204,2411.3672,2001.6699,2227.9453,2133.7363
123.0438956,9339.398,9178.078,30230.719,9341.586,30110.125,29864.516,5178.9062,5189.3203,5852.1094
123.0439464,6815.453,5892.2383,302205,6487.789,303341.5,305861.5,6646.8047,6073.367,6319.1875
123.9008315,7870.793,7863.246,7772.301,7679.0117,7913.09,8109.949,7588.4805,7360.867,7274.758
123.9008582,7786.5312,8298.141,8295.141,8482.406,8536.414,9061.219,9952.766,8681.953,13563.75
123.9008646,7947.754,7753.754,8711.656,8368.055,9258.555,9666.281,7605.426,7584.8477,8280.703
123.9008992,8830.852,8924.453,10049.305,8458.047,9577.773,10299.1875,7095.164,7651.0586,7073.7617
124.0152339,0,0,0,0,0,0,0,0,0
124.0155987,0,0,0,0,0,0,0,0,0
124.9986041,904.8672,736.9883,2013.1367,1294.1445,2030.1807,2476.4688,2536.2266,2068.293,2158.4004
125.0232787,18221.125,17999.625,11060.109,18707.875,12462.68,12276.445,6675.66,6979.742,7430.875
125.0233168,23116.469,22006.062,32242.844,21106.516,31667.75,32519.61,11378.109,11254.742,11670.195
125.0233624,6521.4023,7230.258,23485.89,7268.035,24616.297,24923.14,9243.633,9532.539,10123.711
125.0234451,12949.117,12274.164,100576.19,12427.055,107927.875,104460.875,6589.2344,6146.914,7248.039
